Name,Slug,Category,Reference to taxonomy,Definition,Evidence / Research,Source,Confidence,Potential value,Value type,Operational/ROI impact,Good example,Bad example,Enterprise insurance application,OGI user considerations,Potential metrics/signals,Checklist prompt,Number
Working memory limits,working-memory-limits,Cognitive psychology,Cognitive psychology,"Working memory limits is an experience quality consideration within cognitive psychology that affects how users understand, navigate or complete work.","Human memory, attention and decision-making limits affect speed, accuracy and confidence.",Cognitive psychology and interaction design research,High,"Reduced mental effort, faster decisions and fewer errors.",Operational Efficiency,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies working memory limits deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores working memory limits, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate working memory limits without unnecessary confusion, friction or risk?",14
Hick's Law,hick-s-law,Cognitive psychology,Cognitive psychology,"Hick's Law is an experience quality consideration within cognitive psychology that affects how users understand, navigate or complete work.","Human memory, attention and decision-making limits affect speed, accuracy and confidence.",Cognitive psychology and interaction design research,High,"Reduced mental effort, faster decisions and fewer errors.",Operational Efficiency,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies hick's law deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores hick's law, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate hick's law without unnecessary confusion, friction or risk?",15
Fitts's Law,fitts-s-law,Cognitive psychology,Cognitive psychology,"Fitts's Law is an experience quality consideration within cognitive psychology that affects how users understand, navigate or complete work.","Human memory, attention and decision-making limits affect speed, accuracy and confidence.",Cognitive psychology and interaction design research,High,"Reduced mental effort, faster decisions and fewer errors.",Operational Efficiency,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies fitts's law deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores fitts's law, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate fitts's law without unnecessary confusion, friction or risk?",16
Chunking,chunking,Cognitive psychology,Cognitive psychology,"Chunking is an experience quality consideration within cognitive psychology that affects how users understand, navigate or complete work.","Human memory, attention and decision-making limits affect speed, accuracy and confidence.",Cognitive psychology and interaction design research,High,"Reduced mental effort, faster decisions and fewer errors.",Operational Efficiency,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies chunking deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores chunking, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate chunking without unnecessary confusion, friction or risk?",17
Mental models,mental-models,Cognitive psychology,Cognitive psychology,"Mental models is an experience quality consideration within cognitive psychology that affects how users understand, navigate or complete work.","Human memory, attention and decision-making limits affect speed, accuracy and confidence.",Cognitive psychology and interaction design research,High,"Reduced mental effort, faster decisions and fewer errors.",Operational Efficiency,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies mental models deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores mental models, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate mental models without unnecessary confusion, friction or risk?",18
Decision fatigue,decision-fatigue,Cognitive psychology,Cognitive psychology,"Decision fatigue is an experience quality consideration within cognitive psychology that affects how users understand, navigate or complete work.","Human memory, attention and decision-making limits affect speed, accuracy and confidence.",Cognitive psychology and interaction design research,High,"Reduced mental effort, faster decisions and fewer errors.",Operational Efficiency,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies decision fatigue deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores decision fatigue, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate decision fatigue without unnecessary confusion, friction or risk?",19
Choice overload,choice-overload,Cognitive psychology,Cognitive psychology,"Choice overload is an experience quality consideration within cognitive psychology that affects how users understand, navigate or complete work.","Human memory, attention and decision-making limits affect speed, accuracy and confidence.",Cognitive psychology and interaction design research,High,"Reduced mental effort, faster decisions and fewer errors.",Operational Efficiency,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies choice overload deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores choice overload, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate choice overload without unnecessary confusion, friction or risk?",20
Attention hierarchy,attention-hierarchy,Cognitive psychology,Cognitive psychology,"Attention hierarchy is an experience quality consideration within cognitive psychology that affects how users understand, navigate or complete work.","Human memory, attention and decision-making limits affect speed, accuracy and confidence.",Cognitive psychology and interaction design research,High,"Reduced mental effort, faster decisions and fewer errors.",Operational Efficiency,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies attention hierarchy deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores attention hierarchy, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate attention hierarchy without unnecessary confusion, friction or risk?",21
Change blindness,change-blindness,Cognitive psychology,Cognitive psychology,"Change blindness is an experience quality consideration within cognitive psychology that affects how users understand, navigate or complete work.","Human memory, attention and decision-making limits affect speed, accuracy and confidence.",Cognitive psychology and interaction design research,High,"Reduced mental effort, faster decisions and fewer errors.",Operational Efficiency,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies change blindness deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores change blindness, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate change blindness without unnecessary confusion, friction or risk?",22
Peak-end rule,peak-end-rule,Cognitive psychology,Cognitive psychology,"Peak-end rule is an experience quality consideration within cognitive psychology that affects how users understand, navigate or complete work.","Human memory, attention and decision-making limits affect speed, accuracy and confidence.",Cognitive psychology and interaction design research,High,"Reduced mental effort, faster decisions and fewer errors.",Operational Efficiency,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies peak-end rule deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores peak-end rule, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate peak-end rule without unnecessary confusion, friction or risk?",23
Primacy and recency effects,primacy-and-recency-effects,Cognitive psychology,Cognitive psychology,"Primacy and recency effects is an experience quality consideration within cognitive psychology that affects how users understand, navigate or complete work.","Human memory, attention and decision-making limits affect speed, accuracy and confidence.",Cognitive psychology and interaction design research,High,"Reduced mental effort, faster decisions and fewer errors.",Operational Efficiency,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies primacy and recency effects deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores primacy and recency effects, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate primacy and recency effects without unnecessary confusion, friction or risk?",24
Dense information layouts,dense-information-layouts,Enterprise & productivity UX,Enterprise & productivity UX,"Dense information layouts is an experience quality consideration within enterprise & productivity ux that affects how users understand, navigate or complete work.","Enterprise users often prioritise speed, continuity, findability and efficiency over consumer-style simplification.",NN/g Enterprise UX and Microsoft Research,Medium-High,"Faster task completion, reduced context switching and improved power-user productivity.",Operational Efficiency,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","A PAS dashboard provides dense but structured policy summaries, statuses, shortcuts and filters for high-frequency users.","Critical information is hidden behind multiple pages in the name of simplicity, slowing power users down.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","clicks per task, context switches, servicing time, power-user satisfaction.","Can a user complete this workflow with appropriate dense information layouts without unnecessary confusion, friction or risk?",25
Workflow continuity,workflow-continuity,Enterprise & productivity UX,Enterprise & productivity UX,"Workflow continuity is an experience quality consideration within enterprise & productivity ux that affects how users understand, navigate or complete work.","Enterprise users often prioritise speed, continuity, findability and efficiency over consumer-style simplification.",NN/g Enterprise UX and Microsoft Research,Medium-High,"Faster task completion, reduced context switching and improved power-user productivity.",Operational Efficiency,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies workflow continuity deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores workflow continuity, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","clicks per task, context switches, servicing time, power-user satisfaction.","Can a user complete this workflow with appropriate workflow continuity without unnecessary confusion, friction or risk?",26
Context switching,context-switching,Enterprise & productivity UX,Enterprise & productivity UX,"Context switching is an experience quality consideration within enterprise & productivity ux that affects how users understand, navigate or complete work.","Enterprise users often prioritise speed, continuity, findability and efficiency over consumer-style simplification.",NN/g Enterprise UX and Microsoft Research,Medium-High,"Faster task completion, reduced context switching and improved power-user productivity.",Operational Efficiency,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies context switching deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores context switching, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","clicks per task, context switches, servicing time, power-user satisfaction.","Can a user complete this workflow with appropriate context switching without unnecessary confusion, friction or risk?",27
Findability,findability,Enterprise & productivity UX,Enterprise & productivity UX,"Findability is an experience quality consideration within enterprise & productivity ux that affects how users understand, navigate or complete work.","Enterprise users often prioritise speed, continuity, findability and efficiency over consumer-style simplification.",NN/g Enterprise UX and Microsoft Research,Medium-High,"Faster task completion, reduced context switching and improved power-user productivity.",Operational Efficiency,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","Users can quickly find policies, customers, documents and actions using predictable search and filters.",Users must know exact navigation paths or policy references before they can find anything.,"Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","clicks per task, context switches, servicing time, power-user satisfaction.","Can a user complete this workflow with appropriate findability without unnecessary confusion, friction or risk?",28
Search efficiency,search-efficiency,Enterprise & productivity UX,Enterprise & productivity UX,"Search efficiency is an experience quality consideration within enterprise & productivity ux that affects how users understand, navigate or complete work.","Enterprise users often prioritise speed, continuity, findability and efficiency over consumer-style simplification.",NN/g Enterprise UX and Microsoft Research,Medium-High,"Faster task completion, reduced context switching and improved power-user productivity.",Operational Efficiency,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","Users can quickly find policies, customers, documents and actions using predictable search and filters.",Users must know exact navigation paths or policy references before they can find anything.,"Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","clicks per task, context switches, servicing time, power-user satisfaction.","Can a user complete this workflow with appropriate search efficiency without unnecessary confusion, friction or risk?",29
Expert-user shortcuts,expert-user-shortcuts,Enterprise & productivity UX,Enterprise & productivity UX,"Expert-user shortcuts is an experience quality consideration within enterprise & productivity ux that affects how users understand, navigate or complete work.","Enterprise users often prioritise speed, continuity, findability and efficiency over consumer-style simplification.",NN/g Enterprise UX and Microsoft Research,Medium-High,"Faster task completion, reduced context switching and improved power-user productivity.",Operational Efficiency,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.",Power users can move through common servicing tasks using keyboard navigation and shortcuts.,"Every action requires mouse navigation through repeated menus, reducing speed and increasing fatigue.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","clicks per task, context switches, servicing time, power-user satisfaction.","Can a user complete this workflow with appropriate expert-user shortcuts without unnecessary confusion, friction or risk?",30
Role-based views,role-based-views,Enterprise & productivity UX,Enterprise & productivity UX,"Role-based views is an experience quality consideration within enterprise & productivity ux that affects how users understand, navigate or complete work.","Enterprise users often prioritise speed, continuity, findability and efficiency over consumer-style simplification.",NN/g Enterprise UX and Microsoft Research,Medium-High,"Faster task completion, reduced context switching and improved power-user productivity.",Operational Efficiency,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies role-based views deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores role-based views, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","clicks per task, context switches, servicing time, power-user satisfaction.","Can a user complete this workflow with appropriate role-based views without unnecessary confusion, friction or risk?",31
